Full Name,Full Name URL,Primary Job Title,Primary Organization,Primary Organization URL,Location,CB Rank (Person),LinkedIn,First Name,Last Name,Gender,Current Organizations,Twitter,Biography,Regions,Facebook,Schools Attended,Number of Founded Organizations,Number of News Articles
S.M. Hussaini,https://www.crunchbase.com/person/s-m-hussaini,Chief Executive Officer,Almoayyed Computers,https://www.crunchbase.com/organization/almoayyed-computers,"Manama, Al Manamah, Bahrain","410,417",,S.M.,Hussaini,Male,Almoayyed Computers,,,Gulf Cooperation Council (GCC),,,,
Ali AlNoaimi,https://www.crunchbase.com/person/ali-alnoaimi,,,,"Manama, Al Manamah, Bahrain","411,606",https://www.linkedin.com/in/alialnoaimi/,Ali,AlNoaimi,,,,,Gulf Cooperation Council (GCC),,,1,
Yusef Al Yusef,https://www.crunchbase.com/person/yusef-al-yusef,Managing Partner & Head of Private Wealth,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","414,510",https://www.linkedin.com/in/yusef-a-yusef-0ab2157,Yusef,Al Yusef,Male,Investcorp,,"Yusef joined Investcorp in October 2005 from Arcapita Bank, where he was Principal serving institutional and private clients in Kuwait and Qatar.  Before Arcapita, Yusef worked for Ahli United Bank and National Bank of Bahrain. He has also held positions with Unilever in Saudi Arabia and United Arab Emirates. Yusef holds a BSc in Accounting from the University of Bahrain.",Gulf Cooperation Council (GCC),,University of Bahrain,,
Mohammed Al Muharraqi,https://www.crunchbase.com/person/mohammed-al-muharraqi,,,,"Bahrain, Asia","429,842",https://www.linkedin.com/in/mohammed-almuharraqi-47988665/,Mohammed,Al Muharraqi,Male,,,,Gulf Cooperation Council (GCC),,,2,
Faisal Khan,https://www.crunchbase.com/person/faisal-khan-3509,,,,"Bahrain, Asia","430,045",,Faisal,Khan,Male,,,,Gulf Cooperation Council (GCC),,,,
Jacob Thomas,https://www.crunchbase.com/person/jacob-thomas-c564,,,,"Bahrain, Asia","430,860",https://www.linkedin.com/in/jacob-thomas-42431a6b/,Jacob,Thomas,Male,WafiApps.com,,,Gulf Cooperation Council (GCC),https://www.facebook.com/ipftech,,1,
Salman Mattar,https://www.crunchbase.com/person/salman-mattar,,,,"Manama, Al Manamah, Bahrain","447,712",,Salman,Mattar,Male,Man Squared WLL,,,Gulf Cooperation Council (GCC),,,2,
Amina Naar,https://www.crunchbase.com/person/amina-naar,,,,"Manama, Al Manamah, Bahrain","456,598",https://www.linkedin.com/in/amina-naar-012465100/,Amina,Naar,,Bahrain FinTech Bay,,"Amina Naar is the BD & Events Associate of Bahrain FinTech Bay.   Amina graduated from Bahrain Polytechnic with a BSc degree in Business Management.   Amina is experienced in PR, marketing and events management with a demonstrated history of working in the venture capital and entrepreneurship industry. She is skilled in operations management, event management, and market research. She previously worked at Tenmou - Bahrain's first business angels holding company and 500 Startups MENA before joining Bahrain Fintech Bay.",Gulf Cooperation Council (GCC),,,,
Fatima Al Balooshi,https://www.crunchbase.com/person/fatima-al-balooshi,CEO,OneGCC,https://www.crunchbase.com/organization/onegcc,"Bahrain, Asia","463,588",https://www.linkedin.com/in/dr-fatima-albalooshi-973b0115/,Fatima,Al Balooshi,Female,OneGCC,https://twitter.com/dr_albalooshi,"Fatima Mohamed Albalooshi is the Kingdom’s longest-serving female minister, and the first minister to simultaneously oversee three portfolios – Social Development, Health and Human Rights. While serving in government, Dr. Albalooshi’s accomplishments included the launch of a range of social services targeting the poor, elderly, disabled and other disadvantaged members of society, as well as the founding and chairing of the world’s first Islamic microfinance bank, Bahrain-based Family Bank, which seeks to empower small entrepreneurs. She was also a member of the Economic Development Board’s Executive Committee from 2008 to 2011, and of the Consultative Commission for the Supreme Council of GCC Leaders from 2004 to 2005. In recognition of her achievements, Dr. Albalooshi was awarded the Bahrain Medal Dr. Albalooshi has been a member of the Supreme Council for Women since 2001, having been appointed personally by His Majesty King Hamad. Also serving as Chairperson of Bahrain Trust Foundation, a non-profit organization offering empowerment through education, training and health services, Dr. Albalooshi continues to be passionate about humanitarianism, women’s rights and community development, supporting projects that improve the quality of life of Bahrain’s people.",Gulf Cooperation Council (GCC),https://www.facebook.com/fatima.albalooshi.3,Concordia University,,1
Ruby Mirchandani,https://www.crunchbase.com/person/ruby-mirchandani,,,,"Bahrain, Asia","465,744",https://www.linkedin.com/in/ruby-mirchandani-55448b43/detail/contact-info/,Ruby,Mirchandani,Female,,,"A combined passion and expertise of customer experience management, operations management and project management acquired within the Kingdom of Bahrain. I am currently on a journey of entrepreneurship by co-founding Bahrain’s up and coming property management platform: uRento",Gulf Cooperation Council (GCC),,,1,
Mihir Kothari,https://www.crunchbase.com/person/mihir-kothari,Principal,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","467,905",https://www.linkedin.com/in/mihir-kothari-07b9b8108/,Mihir,Kothari,Male,Investcorp,,"Mihir Kothari joined Investcorp in 2011 from KPMG Bahrain, where he spent three years specializing in consulting and advisory services.  Prior to that, Mihir spent three years with PricewaterhouseCoopers in India providing auditing and consulting services to a wide variety of industries. At Investcorp, Mihir worked for almost a year in the hedge funds administration team before formally joining in 2011 to work with the placement and relationship management team. Mihir holds a B.Com from the University of Mumbai and is a member of the Institute of Chartered Accountants, Institute of Company Secretaries and Institute of Cost Accountants in India.",Gulf Cooperation Council (GCC),,"H.R. College of Commerce and Economics, Institue of Cost and Works Accountants of India, The Institute of Chartered Accountants of India, The Institute of Company Secretaries of India (ICSI)",,
Ali Zayer,https://www.crunchbase.com/person/ali-zayer,Founder,Tamarran,https://www.crunchbase.com/organization/tamarran,"Manama, Al Manamah, Bahrain","478,927",https://www.linkedin.com/in/ali-zayer-bh,Ali,Zayer,Male,Tamarran,,Co-Founder & CEO. A football lover with more than 12 years of experience in managing IT operations and projects in the financial institutions field.,Gulf Cooperation Council (GCC),,University of Bahrain,1,
Hamad Al Fahad,https://www.crunchbase.com/person/hamad-al-fahad,,,,"Bahrain, Asia","478,937",https://www.linkedin.com/in/hamad-alfahad/,Hamad,Al Fahad,Male,Ascentech,,"With over 15 years of experience in the IT & Telecom industry as an executive, consultant, entrepreneur, and investment adviser. He founded one of the first private licensed telecom companies in the GCC with the deregulation of the Bahrain Telecommunications market in 2004. He spearheaded the launch of WOWIndia International Calling Card, which was the top calling card in the country for three years in a row, with annual gross revenue of over $25 Million. In 2010, he founded Wowcall.com, the first licensed VoIP operator in the GCC, growing it to over 350,000 customers by 2013. Today, Hamad does what he enjoys the most; he helps start-ups and tech companies establish a foothold in an ever-competitive market.",Gulf Cooperation Council (GCC),,University of Pennsylvania,4,
Jonathan Minor,https://www.crunchbase.com/person/jonathan-minor,,,,"Bahrain, Asia","481,380",http://www.linkedin.com/pub/jonathan-minor/b/853/971,Jonathan,Minor,Male,,,"Jonathan Minor joined Investcorp in 2005 and is Head of Financial Management. Jonathan has more than 30 years of experience in the financial services industry with roles in bank capital markets and debt funding, corporate treasury management and relationship management.  He was previously Managing Director, Debt Origination at Daiwa Securities SMBC Europe and before that Global Head of Funding for Westpac Banking Corporation. Jonathan is a member of the UK Association of Corporate Treasurers and The Institute of Chartered Accountants in England and Wales.",Gulf Cooperation Council (GCC),,,,
Ahmed Alkooheji,https://www.crunchbase.com/person/ahmed-alkooheji,"Founder, Creative Director",Ahmed Alkooheji Communications,https://www.crunchbase.com/organization/ahmed-alkooheji-communications,"Manama, Al Manamah, Bahrain","482,094",http://linkedin.com/in/ahmedalkooheji,Ahmed,Alkooheji,Male,Ahmed Alkooheji Communications,http://twitter.com/ahmedalkooheji,"Creative Director at Ahmed Alkooheji Communications (KoohejiCo) and the founder of Kooheji Tech and NINXA. Currently, in charge of KoohejiCo’s creative marketing strategy and implementation. Ahmed created successful brands within the kingdom and abroad launching successful marketing campaigns, including new based innovative technology for prominent corporations in Manama, New York, London, and Osaka. Ahmed prides myself being highly organized and independent; able to effectively coordinate tasks to accomplish client projects with a keen eye for details. Skilled at synthesizing and editing information and media to achieve overall objectives with an infectious enthusiasm for technology and branding exposure wither its internal within the organization or external to the public.",Gulf Cooperation Council (GCC),http://facebook.com/kooheji,,1,
Murali Krishna,https://www.crunchbase.com/person/murali-krishna-2,Vice President,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","495,398",http://www.linkedin.com/pub/murali-krishna/17/472/595,Murali,Krishna,Male,Investcorp,,"Murali Krishna is a member of the risk team for Investcorp's hedge funds group. Murali joined Investcorp in 2007 from Polaris where he worked as Business Analyst and developed risk management systems, banking projects & consulting assignments.  Prior to that Murali spent four years in depository & custodial services and seven years in retail banking. Murali holds an MBA from Osmania University, India. He is a Member of Institute of Company Secretaries of India and a member of the Institute of Bankers.",Gulf Cooperation Council (GCC),,Osmania University,,2
Tony Robinson,https://www.crunchbase.com/person/tony-robinson-3,Controller,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","511,947",https://www.linkedin.com/in/tony-robinson-209a075/,Tony,Robinson,Male,Investcorp,,"Tony Robinson is Investcorp’s Chief Financial Officer. He is also a member of the Firm’s Operating Committee Tony has over 35 years of corporate finance and professional accounting experience across Australia, the UK and Bahrain. Tony joined Investcorp in 1994 as a senior manager in Financial Controls and became Investcorp’s Chief Internal Auditor in 1998. In his capacity as Group Financial Controller (2004-2008), Tony led a team of finance professionals across three geographic locations (London, New York and Bahrain). Tony rejoined Investcorp in 2015 as Chief Financial Officer, from Bahrain Mumtalakat Holding Co. where he managed the investment support and coordination team before becoming Mumtalakat’s Chief Financial Officer from 2012.  As Investcorp’s Chief Financial Officer, Tony’s responsibilities include financial control and reporting, balance sheet management, investment administration, corporate accounting, group treasury support and operations. Tony holds a Bachelor of Business in accounting from the Western Australia Institute of Technology and a Master of Taxation from Curtin University, Australia. He is a member of the Institute of Chartered Accountants in England and Wales and the Institute of Chartered Accountants in Australia.",Gulf Cooperation Council (GCC),,Curtin University,,1
Simon Galpin,https://www.crunchbase.com/person/simon-galpin,Managing Director,Bahrain Economic Development Board,https://www.crunchbase.com/organization/bahrain-economic-development-board,"Bahrain, Asia","523,203",https://www.linkedin.com/in/simongalpin/,Simon,Galpin,Male,Bahrain Economic Development Board,https://twitter.com/sigalpin,,Gulf Cooperation Council (GCC),,University of Glasgow,,
Fatima Tammam,https://www.crunchbase.com/person/fatima-tammam,,,,"Bahrain, Asia","525,014",https://www.linkedin.com/in/fatima-tammam/,Fatima,Tammam,,,,,Gulf Cooperation Council (GCC),,,,
Dean Rowan,https://www.crunchbase.com/person/dean-rowan,,,,"Bahrain, Asia","525,621",https://www.linkedin.com/in/dean-rowan-35a2085/,Dean,Rowan,,Maventus Group,,,Gulf Cooperation Council (GCC),,,,
Steven Thomas,https://www.crunchbase.com/person/steven-thomas-0e1c,,,,"Bahrain, Asia","538,588",https://www.linkedin.com/in/steven-thomas-809096a5/,Steven,Thomas,Male,,https://twitter.com/middly_me,"A problem solver and product manager who uses Mobile Thinking, Digital Strategy & Innovation to give shape to ideas which create value.",Gulf Cooperation Council (GCC),https://www.facebook.com/middlymarketplace/,IESE Business School,1,
Aboobacker Shinan,https://www.crunchbase.com/person/aboobacker-shinan,CFO and Founder,GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,"Bahrain, Asia","541,004",https://www.linkedin.com/in/ca-aboobacker-shinan-48b9351b/,Aboobacker,Shinan,Male,GetBaqala Inc.,https://twitter.com/shinanaca,,Gulf Cooperation Council (GCC),,The Institute of Chartered Accountants of India,1,
Adel Daylami,https://www.crunchbase.com/person/adel-daylami,Chief Global Business Officer,Batelco,https://www.crunchbase.com/organization/batelco,"Bahrain, Asia","541,252",https://www.linkedin.com/in/mr-adel-daylami-bb473b15/,Adel,Daylami,Male,Batelco,,"Adel Daylami as Chief Global Business Officer drives and promotes the professional business relationships with customers, partners, carriers and Batelco’s joint venture partners and designs customised solutions for Batelco’s global clients across its many geographic, legislative and compliance environments. Since joining Batelco in 1989 Adel has held various roles including General Manager Enterprise Division, General Manager Products & Services, Director International Operation & Business Marketing and CEO Batelco Jordan. Additionally, he holds the role of Managing Director of Batelco Egypt. Among Adel’s many key achievements he was a key player in setting up Broadband Bahrain and ICT & Network Rationalization Strategies and he managed the launch and successful implementation of Batelco’s Internet Services. He holds a Master’s in Business Administration, Post Graduate Diploma in Marketing and a BSc in Electrical & Electronics Engineering.",Gulf Cooperation Council (GCC),https://www.facebook.com/adel.daylami,"King Fahd University of Petroleum and Minerals, University of Bahrain",,
Nedhal Saleh Al Aujan,https://www.crunchbase.com/person/nedhal-saleh-al-aujan,CEO,Bahrain Development Bank,https://www.crunchbase.com/organization/bahrain-development-bank,"Bahrain, Asia","555,449",,Nedhal,Saleh Al Aujan,Male,Bahrain Development Bank,,,Gulf Cooperation Council (GCC),,,,
Frank Pollmann,https://www.crunchbase.com/person/frank-pollmann,,,,"Bahrain, Asia","559,045",https://www.linkedin.com/in/frank-pollmann-91748717/,Frank,Pollmann,Male,Taha International,,,Gulf Cooperation Council (GCC),,,1,
Mahmoud Al-Hawary,https://www.crunchbase.com/person/mahmoud-al-hawary,,,,"Bahrain, Asia","562,407",https://www.linkedin.com/in/mahmoud-al-hawary-882a74172/?originalSubdomain=bh,Mahmoud,Al-Hawary,Male,,,Mahmoud Al-Hawary is a CEO at Dhaman Co.,Gulf Cooperation Council (GCC),,,,
Wassim Hammoude,https://www.crunchbase.com/person/wassim-hammoude,Principal,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","569,382",http://www.linkedin.com/pub/wassim-hammoude/3/571/812,Wassim,Hammoude,Male,Investcorp,,"Wassim Hammoude joined Investcorp in 2008 from Deloitte & Touche in Dubai. Prior to this, he worked with Albazie & Co. (formerly Arthur Andersen) in Kuwait. Wassim holds an MBA from Columbia Business School and a BS in banking and finance from the Lebanese American University. He is also an Accredited Valuation Analyst.",Gulf Cooperation Council (GCC),,"Columbia University in the City of New York, Lebanese American University",,
Samer Aljishi,https://www.crunchbase.com/person/samer-aljishi,President,BFG International,https://www.crunchbase.com/organization/bfg-international,"Bahrain, Asia","572,512",https://www.linkedin.com/in/samer-aljishi-416391b/,Samer,Aljishi,Male,BFG International,,,Gulf Cooperation Council (GCC),,,,
Shreya Rammohan,https://www.crunchbase.com/person/shreya-rammohan,,,,"Bahrain, Asia","584,207",https://www.linkedin.com/in/shreyarammohan/?originalSubdomain=bh,Shreya,Rammohan,Female,,,"Forever on a curiosity voyage of learning and seeking knowledge, Shreya has earned laurels through her academic journey in the fields of Communication & Management at the Local (Bahrain & India), Regional (GCC & India), and National level (Bahrain & India). She has over 8 years of professional marketing consulting, research & implementation experience across 10 industrial sectors & in 4 regional markets (Bahrain, Oman, Saudi Arabia & UAE). She has successfully managed teams of researchers, departments (brand management & design) and coached trainees.",Gulf Cooperation Council (GCC),https://www.facebook.com/shreya.rammohan,,1,
YourAmlak Bahrain,https://www.crunchbase.com/person/youramlak-bahrain,,,,"Manama, Al Manamah, Bahrain","592,555",,YourAmlak,Bahrain,Male,,https://www.twitter.com/youramlak,"http://bahrain.youramlak.com is Bahrain's # 1 Property portal . YourAmlak has the biggest listing of real estate in Bahrain which includes flats, villas, shops, townhouses and a whole lot more. YourAmlak features advanced search functionality, an easy to use interface to go along with its detailed listings with Images, specifications and contact information.",Gulf Cooperation Council (GCC),https://www.facebook.com/youramlak,,,
Zain Al Khalifa,https://www.crunchbase.com/person/zain-al-khalifa,,,,"Bahrain, Asia","597,726",,Zain,Al Khalifa,Male,,,,Gulf Cooperation Council (GCC),,,,
Ala AlSaleh,https://www.crunchbase.com/person/ala-alsaleh,Vice President of Corporate Investments,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","608,349",http://www.linkedin.com/in/alaalsaleh,Ala,AlSaleh,Female,Investcorp,,"Ala AlSaleh joined Investcorp in 2011 from Ernst & Young in Atlanta where she was part of the valuation and business modeling team. Prior to that, Ala worked with Ernst & Young in Bahrain in their transaction advisory services group. Ala holds a BSc (Distinction) in Banking & Finance from the University of Bahrain and an MBA from Texas Christian University.  She is also a Fulbright Scholar.",Gulf Cooperation Council (GCC),,"Texas Christian University, University of Bahrain",,
Ali Ashoor,https://www.crunchbase.com/person/ali-ashoor,Founder and CEO,Uski,https://www.crunchbase.com/organization/bh-theatre,"Bahrain, Asia","609,697",http://bh.linkedin.com/in/aliashoor,Ali,Ashoor,Male,Uski,http://twitter.com/Ali_Ashoor,Founder at PaperV,Gulf Cooperation Council (GCC),,Ahlia University,2,
Suneeta Habeeb,https://www.crunchbase.com/person/suneeta-habeeb,Co-Founder,Offerpedia,https://www.crunchbase.com/organization/offerpedia,"Bahrain, Asia","612,759",https://www.linkedin.com/in/suneeta-habeeb-35992a156/,Suneeta,Habeeb,Female,Offerpedia,,,Gulf Cooperation Council (GCC),,,1,
Masooma Mohammed,https://www.crunchbase.com/person/masooma-mohammed,Vice President,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","620,437",https://www.linkedin.com/in/masooma-hussain-793a8b2b/,Masooma,Mohammed,Female,Investcorp,,"Masooma A. Mohammed joined Investcorp in 1997 from ABN Amro Bank in Bahrain where she was Office Manager/Officer for the General Manager and the Dutch Consular. Prior to that, Masooma worked for National Bank of Bahrain and Gulf International Bank. Masooma holds a BSc in Banking & Finance from the University of Bahrain and a Diploma in Advanced Banking Studies from the Bahrain Institute for Banking & Finance.",Gulf Cooperation Council (GCC),,University of Bahrain,,
Esra'a Al Shafei,https://www.crunchbase.com/person/esraa-al-shafei,Founder,CrowdVoice,https://www.crunchbase.com/organization/crowdvoice,"Bahrain, Asia","633,814",,Esra'a,Al Shafei,Female,CrowdVoice,https://twitter.com/ealshafei?lang=en,"Esra’a Al-Shafei is a Bahraini civil rights activist, blogger, and the founder and executive director of Mideast Youth and its related projects, including CrowdVoice.org. Al-Shafei is a senior TED Fellow,an Echoing Green fellow, and has been referred to by CNN reporter George Webster as “An outspoken defender of free speech”.[5] She has been featured in FastCompany as one of the “100 Most Creative People in Business.”In 2011, The Daily Beast listed Al-Shafei as one of the 17 bravest bloggers worldwide. She is also a promoter of music as a means of social change, and founded Mideast Tunes, which is currently the largest platform for underground musicians in the Middle East and North Africa. Al-Shafei is a recipient of the Berkman Award for Internet Innovation from Berkman Center for Internet & Society at Harvard Law School in 2008 for “outstanding contributions to the internet and its impact on society.” In 2012, she received a Shuttleworth Foundation Fellowship for her work on the open source platform CrowdVoice.org. She is also the recipient of the Monaco Media Prize, which acknowledges innovative uses of media for the betterment of humanity. In 2014, she was featured in Forbes‘ “30 Under 30” list of social entrepreneurs making an impact in the world. The World Economic Forum listed her as one of “15 Women Changing the World in 2015.”",Gulf Cooperation Council (GCC),,,1,3
Sajad Hameed,https://www.crunchbase.com/person/sajad-hameed,CMO & Co-founder,The Stories Studio,https://www.crunchbase.com/organization/the-stories-studio,"Bahrain, Asia","636,354",https://www.linkedin.com/in/sajadhameed/,Sajad,Hameed,Male,The Stories Studio,,,Gulf Cooperation Council (GCC),,,1,
Louay Malas,https://www.crunchbase.com/person/louay-malas,,,,"Bahrain, Asia","641,395",,Louay,Malas,Male,,,,Gulf Cooperation Council (GCC),,,1,
Ali Jassim,https://www.crunchbase.com/person/ali-jassim,,,,"Bahrain, Asia","647,543",https://www.linkedin.com/in/jassim-ali-7b861365/,Ali,Jassim,Male,,,,Gulf Cooperation Council (GCC),,,,1
Anil Hattangdi,https://www.crunchbase.com/person/anil-hattangdi,CEO Adviser,Bahrain Development Bank,https://www.crunchbase.com/organization/bahrain-development-bank,"Bahrain, Asia","650,700",,Anil,Hattangdi,Male,,,,Gulf Cooperation Council (GCC),,,,
Mohammed Al Sada,https://www.crunchbase.com/person/mohammed-alsada,Principal,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","654,194",https://www.linkedin.com/in/mohamed-al-sada-13181b27/,Mohammed,Al Sada,Male,Investcorp,,"Mohammed AlSada joined Investcorp in 2008 from Gulf Finance House where he worked in the Investment Placement Team as a Principal responsible for institutional and private clients in Kuwait and Eastern Province Saudi Arabia. Before that, Mohammed spent time at Arab Banking Corporation. Mohammed holds an MBA in Management of Operations Technology and a BSc in Finance and Business Management, both from Bentley College, Massachusetts.",Gulf Cooperation Council (GCC),,Bentley University,,
Mohannad Al-Marar,https://www.crunchbase.com/person/mohannad-al-marar,,,,"Manama, Al Manamah, Bahrain","657,777",,Mohannad,Al-Marar,Male,,,,Gulf Cooperation Council (GCC),,,1,
Christopher Tadros,https://www.crunchbase.com/person/christopher-tadros,,,,"Bahrain, Asia","662,558",https://www.linkedin.com/in/christopher-tadros-506805161/,Christopher,Tadros,Male,,,,Gulf Cooperation Council (GCC),,,,
Srikanth Sethuraman,https://www.crunchbase.com/person/srikanth-sethuraman,,,,"Bahrain, Asia","668,826",http://www.linkedin.com/pub/srikanth-sethuraman/15/20a/540,Srikanth,Sethuraman,Male,,,"Srikanth holds a BA in Commerce from the University of Madras, India.  He is an Associate with the Institute of Chartered Accountants of India and a CFA charter holder.",Gulf Cooperation Council (GCC),,University of Madras,,
Asad Khan,https://www.crunchbase.com/person/asad-khan-c0ca,,,,"Manama, Al Manamah, Bahrain","672,951",https://www.linkedin.com/in/asad-khan-2895a732/,Asad,Khan,Male,,,,Gulf Cooperation Council (GCC),,,1,
Hanan Janahi,https://www.crunchbase.com/person/hanan-janahi,,,,"Bahrain, Asia","679,707",,Hanan,Janahi,Female,WafiApps.com,,,Gulf Cooperation Council (GCC),https://www.facebook.com/hanan.janahi,,1,
Pramod Joseph,https://www.crunchbase.com/person/pramod-joseph,,,,"Bahrain, Asia","680,960",https://www.linkedin.com/in/pramod-joseph-279a0a3/,Pramod,Joseph,Male,WafiApps.com,,,Gulf Cooperation Council (GCC),https://www.facebook.com/pramod.joseph.9,Robert Gordon University,1,
Nawaf AlKoheji,https://www.crunchbase.com/person/nawaf-alkoheji,,,,"Bahrain, Asia","688,578",https://www.linkedin.com/in/nawafalkoheji/,Nawaf,AlKoheji,,,,,Gulf Cooperation Council (GCC),,,,
Naeem Noor,https://www.crunchbase.com/person/naeem-nur,Founder / Developer,AcquiredBy,https://www.crunchbase.com/organization/acquiredby,"Manama, Al Manamah, Bahrain","699,340",,Naeem,Noor,Male,AcquiredBy,https://twitter.com/naeemol,Maker,Gulf Cooperation Council (GCC),,Virtual University of Pakistan,1,
Paul Lalley,https://www.crunchbase.com/person/paul-lalley,CPO,Sapient Shopping,https://www.crunchbase.com/organization/sapient-shopping,"Bahrain, Asia","708,674",,Paul,Lalley,Male,"AquaThings, Sapient Shopping",,,Gulf Cooperation Council (GCC),,,,
Wafa Al Obaidat,https://www.crunchbase.com/person/wafa-al-obaidat,,,,"Bahrain, Asia","710,148",https://www.linkedin.com/in/wafa-al-obaidat-8a992046/?originalSubdomain=bh,Wafa,Al Obaidat,Female,,https://twitter.com/wafaobaidat?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Wafa is the Chief Executive Officer and Creative Director of Obai and Hill. In 2015, Obai and Hill received the Start-Up of the Year award, hosted by the Bahrain Entrepreneurship Awards. Wafa is also a Shaper in the Global Shapers Community, a network of city-based Hubs developed and led by young leaders between 20 and 30 years old who want to develop their leadership potential to better serve society. Wafa is a committee member of the SME Society in the Bahrain Chamber of Commerce. Wafa is a Feature Contributor to Start Up Bahrain, an award-winning independent publication for startups and entrepreneurship, and a columnist at Khaleejesque Magazine where she writes about startups, design, and the creative industry in the Middle East.",Gulf Cooperation Council (GCC),,,1,
DJ Outlaw,https://www.crunchbase.com/person/dj-outlaw,,,,"Bahrain, Asia","712,790",,DJ,Outlaw,Male,,https://twitter.com/djoutlaw,"DJ Outlaw (Mohammed Al Mohri) was born and raised in Bahrain, and is the founding member of Outlaw Productions creative studio. His DJ career started in 1997, but it was 2009 before he released his debut studio album History in the Making, featuring many local and international artists. It was the first Bahraini hip-hop album to be distributed in musical outlets across the country as well as being sold on digital distribution platforms including iTunes and Amazon. His annual mixtape series “The Middle East Invasion” (which is currently on volume six) presents Arab artitsts handpicked by Outlaw so that the world can experience what Arabian hip-hop has to offer. Most recently Outlaw joined Radio Bahrain 96.5FM in October of 2016 and is now hosting his own Hiphop/RnB drive time show every Friday. Outlaw has been producing music since 2003. “Bahrain Unite” and 2011’s “Arab World Unite” were two of his biggest projects so far – the latter, featuring seven artists from around the Arab world, was released on Saudi hip-hop artist Qusai’s album, and both tracks garnered international media attention. In 2014, the hit single “Samboosa” – produced by Outlaw and performed by Kuwaiti Outlaw Productions artist, Daffy – quickly went viral, bagging 100,000 views on YouTube within a week of the video release. In July 2016, 9ARAT, a collaborative album between Outlaw Productions artists Flipperachi and Daffy produced by DJ Outlaw, was released, claiming the Number One spot on the iTunes MENA charts. The video for one of the album’s singles “EE LAA” was released in July 2016, and now has over 10 million YouTube views. The single also reached Number One on the iTunes MENA general and hip-hop charts. Outlaw has also worked with artists including G-unit, DJ Lord Sear, MC Lyte, Jaz O, The Outlawz, TQ, Ace Hood, Freeway, Mad Skillz, Fatman Scoop and actor Orlando Jones. He has shared a stage with DJ Jazzy Jeff, DJ Tony Touch, Junior Jack, Yves Larock, Fatman Scoop, DJ KOOL, Shortie Blitz, Just Blaze, Tabu of the Black Eyed Peas, and most recently, DMC of RUN DMC.",Gulf Cooperation Council (GCC),https://www.facebook.com/djoutlawfanpage/,,,
Bernadette Denoga,https://www.crunchbase.com/person/bernadette-denoga,Project Manager,ThinkSmart,https://www.crunchbase.com/organization/thinksmart-e91e,"Bahrain, Asia","720,349",https://www.linkedin.com/in/bernadette-denoga-58961a67/,Bernadette,Denoga,Female,ThinkSmart,,Bernadette Denoga is the Project Manager at Thinksmart.,Gulf Cooperation Council (GCC),,,,
Tawfeeq Ali Al Qattan,https://www.crunchbase.com/person/tawfeeq-ali-al-qattan,"Senior Vice President, Support Services Division",Bahrain Development Bank,https://www.crunchbase.com/organization/bahrain-development-bank,"Bahrain, Asia","726,532",,Tawfeeq,Ali Al Qattan,Male,Bahrain Development Bank,,,Gulf Cooperation Council (GCC),,,,
Alaa Masoud,https://www.crunchbase.com/person/alaa-masoud,,,,"Bahrain, Asia","735,486",https://www.linkedin.com/in/alaamasoud/,Alaa,Masoud,Male,,https://twitter.com/alaa_am,Normal person. Studies Engineering & IT and have now 17 years experience it. Would like to use this experience to make a noticeable change to the world. Good change of course ;) I never get bored from walking in downtown of the cities and discovering new cultures.,Gulf Cooperation Council (GCC),https://www.facebook.com/alaa.am,Dalhousie University,2,
Narayanan Ganapathy,https://www.crunchbase.com/person/narayanan-ganapathy,,,,"Bahrain, Asia","744,260",https://www.linkedin.com/in/narayanan-ganapathy-cfa-61b7652/,Narayanan,Ganapathy,Male,Angivest Ventures,,,Gulf Cooperation Council (GCC),,,,
Christopher Mangaliman,https://www.crunchbase.com/person/christopher-mangaliman,Sales Executive,ThinkSmart,https://www.crunchbase.com/organization/thinksmart-e91e,"Bahrain, Asia","746,849",https://www.linkedin.com/in/christopher-mangaliman-119520179/,Christopher,Mangaliman,Male,ThinkSmart,,Christopher Mangaliman is a Sales Executive at ThinkSmart.,Gulf Cooperation Council (GCC),,,,
